Generated_ParticipantID,UserLanguage,1,1_8_TEXT,2,3,4,Q63,5,6,7,7_7_TEXT,8,9,10,10_8_TEXT,11,11_6_TEXT,12,13,QID53,QID54,14_1,14_2,14_3,15,QID94,QID95,16,16_12_TEXT,17,18,18_11_TEXT,19,20,20_9_TEXT,21,21_9_TEXT,22,23,24,24_6_TEXT,25,25_7_TEXT,29,31,33_Collapsed,34,Q35_City,,
R_6xO57Czxxep2WWt,EN,"Neighborhood beautification,Improved air quality,Recreation (e.g., fishing, bird watching, walking)",,"Long-standing water bodies,Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(3) Greater Katy Prairie-Pothole Pimple-Mound Complexes,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Often – (At least once a month),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Nearby river, creek, or bayou overflowing",,"$10,000 - $20,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income,Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Interruption of utility services (e.g., power outages, water supply)",,"Raised the foundation of my house,Requested assistance from local government (e.g., city, county) to improve drainage,Engaged with local authorities around flooding issues",,"Nature-based detention pond,Large park,Pocket wetland,Rain garden","Permeable pavement,Rainwater harvesting","Nature-based detention pond,Pocket prairie,Urban forestry","Wetland conservation,Wetland restoration (inland or coastal)",3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important",Houston Galveston Area Council (HGAC),,Above average trust,"Equity in implementation–areas that need it most may not get first priority,Displacement due to environmental projects (e.g., gentrification or green gentrification),Maintenance issues",,Very satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies",,"Establishing community advisory boards,Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Providing multilingual interpretation services",,I participate in most meetings,Very involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER),My local neighborhood association or homeowners association (HOA)",,Facebook Posts,,No,Over 20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_6zu6itq276bTUKY,EN,I do not know,,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree)",(5) Anahuac Coastal Marsh and Prairies,"No, I do not think they impact flooding in my community",Drought,Rarely – (once a year or less),Rarely – (once a year or less),"Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size)",,$0 - I haven't spent any money on flood-related repairs,"Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Mental health impact (e.g., anxiety, trauma, stress)",,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community.,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Moderate trust,High installment costs,,Moderately satisfied,Better access to emergency resources and assistance,,Providing multilingual interpretation services,,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues.,,Word of mouth,,No,1-5 years,Low (<50k),I do not rent or own my home.,Baytown,,
R_5jbxSlAT1aLsHhT,EN,Neighborhood beautification,,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree)",(4) Trans-Brazos Region,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Often – (At least once a month),"Aging infrastructure (e.g., not in compliance–out of date)",,"$10,000 - $20,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Mental health impact (e.g., anxiety, trauma, stress),Displacement from home (e.g., temporary relocation)",,"Requested assistance from local government (e.g., city, county) to improve drainage",,Large park,Permeable pavement,Pocket wetland,Wetland conservation,2,3,1,"Yes, it is important","Yes, it is important","Yes, it is important",Houston Galveston Area Council (HGAC),,Moderate trust,"High installment costs,Lack of educational resources for the community",,Moderately satisfied,"Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies",,"Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I occasionally participate in meetings,Moderately involved,"Coalition for Environment, Equity and Resilience (CEER)",,Instagram Posts,,Yes,6-10 years,Moderate (50k-<150k),I own my home.,Houston,,
R_1wcRi68wiI4SNbF,EN,"Improved air quality,Improved soil quality,Recreation (e.g., fishing, bird watching, walking)",,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),A creek nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets),Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Sometimes – (once every 2-6 months),"Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Aging infrastructure (e.g., not in compliance–out of date)",,"$5,000 - $10,000","Above the knee (e.g., over 12 inches)","Property damage (e.g., vehicle damage, home repairs),Mental health impact (e.g., anxiety, trauma, stress),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Increased cost for repairs or flood proofing (e.g., more expensive flood insurance premiums)",,"Raised the foundation of my house,Requested assistance from local government (e.g., city, county) to improve drainage,Engaged with local authorities around flooding issues",,"Nature-based detention pond,Permeable pavement,Pocket wetland,Rainwater harvesting,Wetland conservation","Bioswale,Permeable pavement,Rain garden","Pocket prairie,Pocket wetland,Urban forestry",Wetland restoration (inland or coastal),3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important",Gulf Coast Protection District (GCPD),,Extreme trust,"Equity in implementation–areas that need it most may not get first priority,Displacement due to environmental projects (e.g., gentrification or green gentrification),High installment costs",,Extremely satisfied,"More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback",,"Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I occasionally participate in meetings,Extremely involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER),Northeast Action Collective (NAC)",,Instagram Posts,,Yes,Over 20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_6aFRg55liRSc54B,EN,"Neighborhood beautification,Improved air quality,Improved soil quality",,"Long-standing water bodies,Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(2) Greater Lake Creek,"No, I do not think they impact flooding in my community",Drought,Rarely – (once a year or less),Sometimes – (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size)",,"$500 - $1,000","Less than or at ankle level (e.g., under 3 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income,Mental health impact (e.g., anxiety, trauma, stress)",,Only my landlord can take action to address or reduce flooding at my residence,,Nature-based detention pond,Rainwater harvesting,Pocket wetland,Wetland conservation,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Texas Water Development Board (TWDB),,Moderate trust,Maintenance issues,,Moderately satisfied,More detailed information about flood preparedness,,"Better information sharing (e.g., more frequent announcements, different forms of communication)",,I rarely participate in meetings,Moderately involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,No,6-10 years,Moderate (50k-<150k),I own my home.,Houston,,
R_500gU606RebEyxk,EN,"Improved air quality,Improved stormwater quality",,"A drainage ditch nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,"Yes, I think they impact flooding in my community",Drought,Rarely – (once a year or less),Never,"Blocked or clogged drainage systems,Aging infrastructure (e.g., not in compliance–out of date),Nearby river, creek, or bayou overflowing",,$0 - I haven't spent any money on flood-related repairs,"Less than or at ankle level (e.g., under 3 inches)",I have not experienced any of these events,,Only my landlord can take action to address or reduce flooding at my residence,,"Urban forestry,Wetland conservation",I prefer not to implement small-scale GSI in my community,Urban forestry,Wetland restoration (inland or coastal),1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Moderate trust,"Equity in implementation–areas that need it most may not get first priority,Increased taxes,Maintenance issues",,There is no information available,"Increased opportunities for community feedback,Improved use of technology (e.g., apps, websites) for flood risk information",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Host more regular and diverse community meetings representative of the community",,There are no meetings available related to this topic,Not at all involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,No,Over 20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_7stSjoJiJlOPWRE,EN,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(5) Anahuac Coastal Marsh and Prairies,"Yes, I think they impact flooding in my community",Drought,Always – (every time it rains),Always – (every time it rains),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Aging infrastructure (e.g., not in compliance–out of date)",,"More than $20,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Property damage (e.g., vehicle damage, home repairs),Displacement from home (e.g., temporary relocation),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Interruption of utility services (e.g., power outages, water supply)",,"Raised the foundation of my house,Requested assistance from local government (e.g., city, county) to improve drainage,Engaged with local authorities around flooding issues",,"Bioswale,Permeable pavement,Pocket prairie,Rain garden,Urban forestry,Wetland conservation","Bioswale,Rain garden",Pocket prairie,Wetland conservation,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Extreme trust,"Attracting unwanted pests,Equity in implementation–areas that need it most may not get first priority,High installment costs,Increased taxes,Not fitting into community look/aesthetic",,Extremely satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Increased opportunities for community feedback,More targeted outreach to vulnerable populations (e.g., environmental justice communities),Improved use of technology (e.g., apps, websites) for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Compensation for time (e.g., money, gift cards)",,I participate in all meetings,Not at all involved,"Bayou City Waterkeeper (BCWK),Coalition for Environment, Equity and Resilience (CEER)",,Facebook Posts,,No,Over 20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_5lMseLOfqBiIScS,EN,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Long-standing water bodies,Aquatic (water) plants (e.g., cattail, dwarf palmettos, bald cypress tree),A drainage ditch nearby",(5) Anahuac Coastal Marsh and Prairies,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Always – (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure (e.g., not in compliance–out of date)",,"$5,000 - $10,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Loss of work or income,Mental health impact (e.g., anxiety, trauma, stress),Displacement from home (e.g., temporary relocation)",,"Raised the foundation of my house,Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage",,"Urban forestry,Wetland conservation","Bioswale,Permeable pavement,Rain garden",Urban forestry,"Large park,Wetland restoration (inland or coastal)",1,2,3,"Yes, it is important",I don’t know,"Yes, it is important","City of Houston, and other Municipalities (Municipal Utility District MUDs)",,Extreme trust,"Attracting unwanted pests,Equity in implementation–areas that need it most may not get first priority,Displacement due to environmental projects (e.g., gentrification or green gentrification)",,Extremely satisfied,"Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies",,"Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Compensation for time (e.g., money, gift cards)",,I participate in all meetings,Extremely involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER),Northeast Action Collective (NAC)",,Instagram Posts,,No,6-10 years,Moderate (50k-<150k),I own my home.,Houston,,
R_1k0KvxS1NCPrq24,EN,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"A drainage ditch nearby,A creek nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(4) Trans-Brazos Region,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Never,"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby river, creek, or bayou overflowing",,$0 - I haven't spent any money on flood-related repairs,"Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Interruption of utility services (e.g., power outages, water supply)",,"Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage,Engaged with local authorities around flooding issues",,I have not seen any of the GSI examples in my community.,Permeable pavement,Nature-based detention pond,Large park,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Gulf Coast Protection District (GCPD),,Moderate trust,"Attracting unwanted pests,High installment costs,Increased taxes",,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations (e.g., environmental justice communities),Improved use of technology (e.g., apps, websites) for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I participate in most meetings,Moderately involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,No,Over 20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_1Gy5CKB6GCOlhSQ,EN,"Neighborhood beautification,Improved air quality,Recreation (e.g., fishing, bird watching, walking)",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets),Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,"Yes, I think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Sometimes – (once every 2-6 months),"Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Aging infrastructure (e.g., not in compliance–out of date),Nearby river, creek, or bayou overflowing",,"More than $20,000","Less than or at ankle level (e.g., under 3 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income,Mental health impact (e.g., anxiety, trauma, stress),Displacement from home (e.g., temporary relocation),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Interruption of utility services (e.g., power outages, water supply),Increased cost for repairs or flood proofing (e.g., more expensive flood insurance premiums)",,"Requested assistance from local government (e.g., city, county) to improve drainage",,"Nature-based detention pond,Large park","Bioswale,Permeable pavement,Rainwater harvesting","Nature-based detention pond,Pocket wetland","Large park,Wetland restoration (inland or coastal)",1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",I do not know,,No trust,There are no concerns,,Slightly satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,More targeted outreach to vulnerable populations (e.g., environmental justice communities),Improved use of technology (e.g., apps, websites) for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Compensation for time (e.g., money, gift cards),Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,"I never participate in meetings, although they are available",Somewhat involved,I am not part of any organizations focused on drainage and flooding issues.,,Phone Calls,,No,6-10 years,Low (<50k),I own my home.,Houston,,
R_6dY4PqJTzyWsoyR,EN,"Neighborhood beautification,Improved air quality,Improved soil quality",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby",(2) Greater Lake Creek,"Yes, I think they impact flooding in my community",Drought,Often – (At least once a month),Often – (At least once a month),"Heavy rainfall or storms,Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size)",,"$5,000 - $10,000","Between ankle and knee level (e.g., above 3 inches, up to 12 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income,Displacement from home (e.g., temporary relocation)",,"Raised the foundation of my house,Installed flood barriers or sandbags around my property,Engaged with local authorities around flooding issues",,"Nature-based detention pond,Large park,Pocket wetland,Rain garden,Urban forestry,Wetland conservation,Wetland restoration (coastal or inland)","Bioswale,Rain garden","Pocket wetland,Urban forestry","Large park,Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Extreme trust,"Attracting unwanted pests,High installment costs",,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Increased opportunities for community feedback",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Involving local schools and community groups",,I participate in all meetings,Very involved,Bayou City Waterkeeper (BCWK),,Community bulletin posts,,No,11-20 years,Moderate (50k-<150k),I own my home.,Houston,,
R_5dGwlxnlF4VQ2Mt,EN,"Improved air quality,Improved stormwater quality,Stress reduction",,"A drainage ditch nearby,A creek nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,"Yes, I think they impact flooding in my community",Drought,Always – (every time it rains),Always – (every time it rains),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Aging infrastructure (e.g., not in compliance–out of date)",,$0 - I haven't spent any money on flood-related repairs,"Less than or at ankle level (e.g., under 3 inches)","Loss of work or income,Mental health impact (e.g., anxiety, trauma, stress),Displacement from home (e.g., temporary relocation),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work),Interruption of utility services (e.g., power outages, water supply)",,"Requested assistance from local government (e.g., city, county) to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,I have not seen any of the GSI examples in my community.,"Permeable pavement,Rainwater harvesting",Nature-based detention pond,"Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",I do not know,,Moderate trust,"Attracting unwanted pests,Displacement due to environmental projects (e.g., gentrification or green gentrification),High installment costs,Increased taxes,Maintenance issues,Not fitting into community look/aesthetic,Space requirements–not enough space",,Moderately satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations (e.g., environmental justice communities),Improved use of technology (e.g., apps, websites) for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Compensation for time (e.g., money, gift cards),Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,There are no meetings available related to this topic,Moderately involved,I am not part of any organizations focused on drainage and flooding issues.,,Facebook Posts,,No,1-5 years,Low (<50k),I rent my home.,Houston,,
R_6PoFYkD8lfLD00E,EN,"Neighborhood beautification,Improved air quality,Recreation (e.g., fishing, bird watching, walking)",,A drainage ditch nearby,(3) Greater Katy Prairie-Pothole Pimple-Mound Complexes,"No, I do not think they impact flooding in my community",Drought,Sometimes – (once every 2-6 months),Rarely – (once a year or less),"Heavy rainfall or storms,Increased development or urbanization",,$0 - I haven't spent any money on flood-related repairs,"Not applicable (e.g., no experiences with flooding)",Loss of work or income,,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community.,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,Large park,3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Slight trust,"Equity in implementation–areas that need it most may not get first priority,High installment costs,Increased taxes",,Moderately satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance",,"Compensation for time (e.g., money, gift cards)",,"I never participate in meetings, although they are available",Not at all involved,I am not part of any organizations focused on drainage and flooding issues.,,Facebook Posts,,No,1-5 years,Low (<50k),I rent my home.,Houston,,
R_5eXcTlV7r1KHy4N,EN,"Improved stormwater quality,Improved soil quality,Recreation (e.g., fishing, bird watching, walking)",,"A creek nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets),Consistently-saturated soil",(4) Trans-Brazos Region,"Yes, I think they impact flooding in my community",Drought,Never,Often – (At least once a month),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Aging infrastructure (e.g., not in compliance–out of date)",,$0 - I haven't spent any money on flood-related repairs,"Less than or at ankle level (e.g., under 3 inches)",I have not experienced any of these events,,"Not applicable (e.g., flooding has not affected my residence)",,"Nature-based detention pond,Large park,Permeable pavement,Pocket prairie,Pocket wetland,Rain garden,Rainwater harvesting,Wetland conservation",Rain garden,Nature-based detention pond,"Large park,Wetland conservation",3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important",Gulf Coast Protection District (GCPD),,Above average trust,"Equity in implementation–areas that need it most may not get first priority,High installment costs,Increased taxes,Maintenance issues",,There is no information available,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations (e.g., environmental justice communities),Improved use of technology (e.g., apps, websites) for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training),Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I occasionally participate in meetings,Moderately involved,I am not part of any organizations focused on drainage and flooding issues.,,Community bulletin posts,,No,6-10 years,Low (<50k),I own my home.,Baytown,,
R_64AuM5r5ZBFvllT,EN,"Improved air quality,Recreation (e.g., fishing, bird watching, walking),Stress reduction",,"Long-standing water bodies,A creek nearby",I am not sure which critical wetland is located upstream of me.,I do not know,Drought,Often – (At least once a month),Sometimes – (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size)",,$0 - I haven't spent any money on flood-related repairs,"Less than or at ankle level (e.g., under 3 inches)",I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community.,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",I do not know,,Slight trust,There are no concerns,,There is no information available,Improved translation and accessibility information for non-English speakers,,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues.,,Word of mouth,,Yes,1-5 years,Moderate (50k-<150k),I own my home.,Houston,,
R_1iENr9NQ7KQc1I5,EN,"Neighborhood beautification,Increased property value,Stress reduction",,"Long-standing water bodies,A creek nearby,Consistently-saturated soil",(3) Greater Katy Prairie-Pothole Pimple-Mound Complexes,"Yes, I think they impact flooding in my community",Drought,Rarely – (once a year or less),Rarely – (once a year or less),Heavy rainfall or storms,,$0 - I haven't spent any money on flood-related repairs,"Less than or at ankle level (e.g., under 3 inches)","Mental health impact (e.g., anxiety, trauma, stress),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work)",,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community.,Rain garden,Urban forestry,"Wetland conservation,Wetland restoration (inland or coastal)",3,2,1,"Yes, it is important","Yes, it is important","Yes, it is important",State of Texas,,Extreme trust,There are no concerns,,Moderately satisfied,"Increased opportunities for community feedback,Improved use of technology (e.g., apps, websites) for flood risk information",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,There are no meetings available related to this topic,Moderately involved,I am not part of any organizations focused on drainage and flooding issues.,,Community bulletin posts,,No,Over 20 years,Low (<50k),I own my home.,Houston,,
R_79lSdxJ3Ii3ogyZ,EN,"Neighborhood beautification,Increased property value",,"A drainage ditch nearby,A creek nearby",(1) Lake Houston Flatwood Wetlands,"No, I do not think they impact flooding in my community",Drought,Rarely – (once a year or less),Sometimes – (once every 2-6 months),"Not applicable (e.g., my neighborhood does not flood)",,$0 - I haven't spent any money on flood-related repairs,"Not applicable (e.g., no experiences with flooding)","Prevented or delayed access to essential services (e.g., health care, groceries, travel, work)",,"Not applicable (e.g., flooding has not affected my residence)",,I have not seen any of the GSI examples in my community.,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,I prefer not to implement large-scale GSI in my community,1,2,3,"Yes, it is important","Yes, it is important","Yes, it is important",Harris County Flood Control District (HCFCD),,Moderate trust,"High installment costs,Increased taxes",,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Improved translation and accessibility information for non-English speakers",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Involving local schools and community groups,Host more regular and diverse community meetings representative of the community",,I occasionally participate in meetings,Moderately involved,My local neighborhood association or homeowners association (HOA),,Other:,By mail,No,Over 20 years,Low (<50k),I own my home.,Houston,,
R_3rOrKQIuCgOhjWx,EN,"Improved air quality,Improved soil quality,Stress reduction",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water (e.g., frogs, salamander, herons, egrets)",(5) Anahuac Coastal Marsh and Prairies,"Yes, I think they impact flooding in my community",Drought,Always – (every time it rains),Often – (At least once a month),"Heavy rainfall or storms,Drains culverts or pipes that are too small (e.g., inadequate stormwater infrastructure size),Increased development or urbanization",,"$10,000 - $20,000","Above the knee (e.g., over 12 inches)","Property damage (e.g., vehicle damage, home repairs),Loss of work or income,Displacement from home (e.g., temporary relocation),Prevented or delayed access to essential services (e.g., health care, groceries, travel, work)",,"Raised the foundation of my house,Installed flood barriers or sandbags around my property,Requested assistance from local government (e.g., city, county) to improve drainage",,"Pocket prairie,Rain garden,Urban forestry","Bioswale,Permeable pavement,Rain garden","Pocket prairie,Urban forestry","Large park,Wetland restoration (inland or coastal)",3,1,2,"Yes, it is important","Yes, it is important","Yes, it is important",Texas Commission on Environmental Quality (TCEQ),,Above average trust,"Attracting unwanted pests,Displacement due to environmental projects (e.g., gentrification or green gentrification)",,Extremely satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Increased opportunities for community feedback",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Establishing community advisory boards,Providing resources for community action (e.g., participation opportunities, educational programs, technical training)",,I participate in most meetings,Extremely involved,"Bayou City Waterkeeper (BCWK),West Street Recovery (WSR),Northeast Action Collective (NAC)",,Instagram Posts,,No,Over 20 years,High (≥150k),I own my home.,Houston,,
R_6GYZcZFrNgDRg7n,EN,"Neighborhood beautification,Improved stormwater quality,Recreation (e.g., fishing, bird watching, walking)",,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,"Yes, I think they impact flooding in my community",Drought,Rarely – (once a year or less),Sometimes – (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure (e.g., not in compliance–out of date)",,I do not know,"Less than or at ankle level (e.g., under 3 inches)",I have not experienced any of these events,,"Not applicable (e.g., flooding has not affected my residence)",,I have not seen any of the GSI examples in my community.,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,2,3,"Yes, it is important","Yes, it is important",I don’t know,I do not know,,Moderate trust,"Displacement due to environmental projects (e.g., gentrification or green gentrification),Increased taxes,Not fitting into community look/aesthetic",,Very satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Improved use of technology (e.g., apps, websites) for flood risk information",,"Better information sharing (e.g., more frequent announcements, different forms of communication),Involving local schools and community groups,Host more regular and diverse community meetings representative of the community",,I occasionally participate in meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues.,,Community bulletin posts,,Yes,1-5 years,Low (<50k),I rent my home.,Houston,,
