Language,Generated_ParticipantID,Duration (in seconds),Q1,Q1_Other,Q2,Q3,Q4,Q5,Q6,Q7,Q7_Other,Q8,Q9,Q10,Q10_Other,Q11,Q11_Other,Q12,Q13_Small,Q13_Mid,Q13_Large,Q14_Small,Q14_Mid,Q14_Large,Q15_Local,Q15_State,Q15_Federal,Q16,Q16_Other,Q17,Q18,Q18_Other,Q19,Q20,Q20_Other,Q21,Q21_Other,Q22,Q23,Q24,Q24_Other,Q25,Q25_Other,Q26,Q26_Other,Q27,Q27_Number,Q28,Q28_Other,Q29,Q30,Q31,Q32,Q33,Q34,Q35_City,Q35_Zip
Spanish,13196890,2665,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Long-standing water bodies,Aquatic (water) plants,A drainage ditch nearby,A creek nearby",I am not sure which critical wetland is located upstream of me.,I do not know,Rarely (once a year or less),Rarely (once a year or less),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$0 ,Less than or at ankle level,I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,,I prefer not to implement mid-scale GSI in my community,Large park,,,2,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"High installment costs,Increased taxes,Space requirements",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Providing multilingual interpretation services",,I attend all meetings,Not at all involved,Bayou City Waterkeeper (BCWK),,Community bulletin posts,,From a co-worker,,Please type a number,74,White,,Yes,I live in a non-English proficient household,Over 20 years,Less than a high school diploma or equivalent,$10000-$14999,I own my home.,Houston,77037
Spanish,45628450,7632,"Improved stormwater quality,Improved soil quality,Recreation",,"Long-standing water bodies,Aquatic (water) plants,A creek nearby,Wildlife commonly found near water",I am not sure which critical wetland is located upstream of me.,No,Rarely (once a year or less),Never,Blocked or clogged drainage systems,,<$500,Less than or at ankle level,I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community,Rain garden,Pocket prairie,Large park,2,3,1,Yes,Yes,Yes,I do not know,,No trust,There are no concerns,,Moderately satisfied,"More detailed information about flood preparedness,Better access to emergency resources and assistance,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Phone Calls,,From an advertisement,,Please type a number,53,White,,Yes,I have a disability,11-20 years,Less than a high school diploma or equivalent,Prefer not to answer,I do not rent or own my home.,Houston,77037
English,4179982,1859,"Neighborhood beautification,Improved stormwater quality,Increased property value",,A drainage ditch nearby,(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Nearby waterways overflowing",,<$500,Less than or at ankle level,"Displacement from home,Interruption of utility services,Increased cost for repairs or flood proofing",,Requested assistance from local government to improve drainage,,I have not seen any of the GSI examples in my community,Permeable pavement,Nature-based detention pond,Large park,,,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,Increased taxes,,Moderately satisfied,Improved translation and accessibility information for non-English speakers,,Involving local schools and community groups,,I occasionally attend meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From an advertisement,,Please type a number,72,White,,Yes,None of the above,Over 20 years,Associate's Degree or Technical Degree/Certification,$25000-$34999,I own my home.,Houston,77093
English,42039680,1955,"Neighborhood beautification,Improved air quality",,A drainage ditch nearby,(4) Trans-Brazos Region,Yes,Never,Rarely (once a year or less),"Heavy rainfall or storms,Aging infrastructure,Increased development or urbanization",,$1000-$5000,Between ankle and knee level,"Loss of work or income,Mental health impact,Displacement from home",,"Raised the foundation of my house,Requested assistance from local government to improve drainage",,Urban forestry,"Permeable pavement,Rain garden",Urban forestry,Wetland conservation,2,,3,Yes,Yes,Yes,Local city planning departments,,,"Attracting unwanted pests,Increased taxes",,Moderately satisfied,More detailed information about flood preparedness,,"Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action",,I occasionally attend meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From a neighbor,,Please type a number,71,Black or African American,,No,None of the above,Over 20 years,Master's Degree,$25000-$34999,I own my home.,Houston,77020
English,23530446,725,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Long-standing water bodies,Aquatic (water) plants,Wildlife commonly found near water",(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Rarely (once a year or less),Blocked or clogged drainage systems,,$0 ,Less than or at ankle level,Loss of work or income,,Requested assistance from local government to improve drainage,,Wetland restoration (coastal or inland),Rainwater harvesting,Urban forestry,Wetland restoration (inland or coastal),,3,,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,Other:,Not sure,Moderately satisfied,Increased opportunities for community feedback,,Providing resources for community action,,I occasionally attend meetings,Somewhat involved,I am not part of any organizations focused on drainage and flooding issues,,,,Other:,Facebook post,Please type a number,51,White,,Yes,None of the above,1-5 years,Some college,$50000-$74999,I rent my home.,Baytown,77521
Spanish,35478240,5078,Neighborhood beautification,,Long-standing water bodies,,No,Never,Never,"Heavy rainfall or storms,Other:",,>$20000,Not applicable (no experiences with flooding),Other:,,Other:,,Wetland restoration (coastal or inland),Bioswale,Nature-based detention pond,Large park,1,2,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,Space requirements,,There is no information available,More frequent updates on local flood risks,,Other:,,There are no meetings available related to this topic,Extremely involved,Other:,,Other:,,From a family member,,Prefer not to answer,,Other:,,Yes,I live in a non-English proficient household,11-20 years,Prefer not to answer,$25000-$34999,I own my home.,Baytown,77521
English,32533400,12766,"Neighborhood beautification,Improved air quality,Improved stormwater quality",,"Long-standing water bodies,A drainage ditch nearby,Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Rarely (once a year or less),Never,"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,"Nature-based detention pond,Large park,Rain garden,Wetland conservation",Rain garden,Nature-based detention pond,Wetland conservation,1,2,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Above average trust,"Attracting unwanted pests,High installment costs,Increased taxes,Maintenance issues,Not fitting into community look/aesthetic",,There is no information available,"More frequent updates on local flood risks,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,Other:,Facebook post,Please type a number,56,White,,No,I have a disability,Over 20 years,High school diploma or equivalent,$15000-$24999,I do not rent or own my home.,Baytown,77521
English,16960490,603973,"Neighborhood beautification,Improved stormwater quality,Recreation",,"Aquatic (water) plants,Wildlife commonly found near water",,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,$500-$1000,Less than or at ankle level,"Prevented or delayed access to essential services,Interruption of utility services",,I have not taken any measures to address or reduce flooding,,"Large park,Wetland conservation",Rain garden,Pocket prairie,Wetland restoration (inland or coastal),,3,,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,"Displacement due to environmental projects,Increased taxes,Maintenance issues",,Extremely satisfied,More detailed information about flood preparedness,,Involving local schools and community groups,,I occasionally attend meetings,Somewhat involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From a family member,,Prefer not to answer,,White,,Yes,None of the above,1-5 years,Some college,<$10000,I own my home.,Baytown,77523
English,25184834,2265,"Neighborhood beautification,Improved stormwater quality,Other:",Street Repair ,"Long-standing water bodies,A drainage ditch nearby",(4) Trans-Brazos Region,No,Always (every time it rains),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,<$500,Less than or at ankle level,"Property damage,Mental health impact,Interruption of utility services",,Only my landlord can take action to address or reduce flooding at my residence,,"Permeable pavement,Urban forestry","Permeable pavement,Rain garden","Pocket prairie,Pocket wetland",Large park,3,,2,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Above average trust,"Attracting unwanted pests,Equity in implementation,Displacement due to environmental projects,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues,Not fitting into community look/aesthetic,Space requirements",,Very satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance",,"Better information sharing,Compensation for time",,I rarely attend meetings,,Northeast Action Collective (NAC),,Phone Calls,,From a neighbor,,Please type a number,74,Black or African American,,No,I have a disability,Over 20 years,High school diploma or equivalent,<$10000,I rent my home.,Houston,77026
English,111111111,,"Neighborhood beautification,Improved air quality,Other:","Improved stormwater quality,Improved soil quality,Stress reduction","Long-standing water bodies,Aquatic (water) plants,A drainage ditch nearby,Wildlife commonly found near water,Consistently-saturated soil",(2) Greater Lake Creek,Yes,Sometimes (once every 2-6 months),Often (At least once a month),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,I do not know,Between ankle and knee level,"Loss of work or income,Mental health impact,Prevented or delayed access to essential services",,"Raised the foundation of my house,Only my landlord can take action to address or reduce flooding at my residence",,,"Rain garden,Rainwater harvesting","Nature-based detention pond,Pocket wetland",,,,3,Yes,Yes,No,Harris County Flood Control District (HCFCD),,No trust,"High installment costs,Lack of educational resources for the community,Maintenance issues",,Not at all satisfied,"More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Improved use of technology for flood risk information,Enhanced coordination with other local organizations/agencies",,"Better information sharing,Establishing community advisory boards,Providing resources for community action,Host more regular and diverse community meetings representative of the community,Providing child care",,I attend all meetings,Moderately involved,"Bayou City Waterkeeper (BCWK),Northeast Action Collective (NAC)",,Newspaper articles/Flyers,,From a neighbor,,Please type a number,72,Black or African American,,No,I have a disability,6-10 years,Some college,$10000-$14999,I rent my home.,Houston,77020
Spanish,23251718,2915,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems",,I do not know,Less than or at ankle level,I have not experienced any of these events,,Raised the foundation of my house,,"Nature-based detention pond,Rainwater harvesting,Wetland conservation",,Nature-based detention pond,Wetland conservation,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,"Equity in implementation,High installment costs,Increased taxes",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Enhanced coordination with other local organizations/agencies,Improved translation and accessibility information for non-English speakers",,"Involving local schools and community groups,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,From a neighbor,,Please type a number,61,White,,Yes,I live in a non-English proficient household,Over 20 years,High school diploma or equivalent,$50000-$74999,I own my home.,Houston,77093
English,33825164,974,"Improved air quality,Improved stormwater quality,Stress reduction",,Long-standing water bodies,I am not sure which critical wetland is located upstream of me.,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,$0 ,,"Prevented or delayed access to essential services,Interruption of utility services,Increased cost for repairs or flood proofing",,"Requested assistance from local government to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,,Permeable pavement,,I prefer not to implement large-scale GSI in my community,,,2,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,Attracting unwanted pests,,Slightly satisfied,"More detailed information about flood preparedness,More targeted outreach to vulnerable populations",,"Better information sharing,Providing resources for community action",,I occasionally attend meetings,Moderately involved,Northeast Action Collective (NAC),,Facebook Posts,,From a family member,,Please type a number,55,Black or African American,,No,None of the above,1-5 years,Some college,$35000-$49999,I rent my home.,Houston,77026
English,7574216,1835,"Neighborhood beautification,Recreation,Stress reduction",,I do not know,I am not sure which critical wetland is located upstream of me.,Yes,Never,Never,Not applicable (neighborhood does not flood),,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,,,,1,2,3,Yes,Yes,Yes,State of Texas,,No trust,Increased taxes,,Not at all satisfied,Better access to emergency resources and assistance,,"Better information sharing,Involving local schools and community groups,Providing resources for community action",,I attend all meetings,Not at all involved,"Coalition for Environment, Equity and Resilience (CEER),My local neighborhood association or homeowners association (HOA)",,Phone Calls,,From a family member,,Please type a number,67,Black or African American,,No,None of the above,Over 20 years,Some college,$10000-$14999,I own my home.,Houston,77020
Spanish,3761077,2146,Prefer not to answer,,I do not know,(1) Lake Houston Flatwood Wetlands,I do not know,Never,Never,Not applicable (neighborhood does not flood),,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,Rainwater harvesting,Nature-based detention pond,Wetland conservation,1,2,3,I don't know,I don't know,I don't know,I do not know,,,There are no concerns,,Moderately satisfied,"More frequent updates on local flood risks,Improved translation and accessibility information for non-English speakers",,Involving local schools and community groups,,I occasionally attend meetings,Somewhat involved,"Bayou City Waterkeeper (BCWK),Northeast Action Collective (NAC)",,Community bulletin posts,,From a family member,,Prefer not to answer,,White,,Yes,None of the above,Over 20 years,Prefer not to answer,$25000-$34999,I own my home.,Houston,77022
English,31685508,2399,I do not know,,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,No,Never,Rarely (once a year or less),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,$0 ,Less than or at ankle level,"Prevented or delayed access to essential services,Interruption of utility services",,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,Rainwater harvesting,Pocket wetland,Large park,,,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,There are no concerns,,Slightly satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,More targeted outreach to vulnerable populations",,"Better information sharing,Providing resources for community action,Compensation for time",,I occasionally attend meetings,Moderately involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a neighbor,,Please type a number,81,Black or African American,,No,None of the above,Over 20 years,High school diploma or equivalent,$15000-$24999,I own my home.,Houston,77020
English,46789906,3986,"Neighborhood beautification,Improved stormwater quality",,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,I do not know,Less than or at ankle level,Interruption of utility services,,Only my landlord can take action to address or reduce flooding at my residence,,Large park,I prefer not to implement small-scale GSI in my community,Nature-based detention pond,Large park,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,Lack of educational resources for the community,,Extremely satisfied,More frequent updates on local flood risks,,Host more regular and diverse community meetings representative of the community,,,Extremely involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,From a neighbor,,Please type a number,75,Black or African American,,No,None of the above,6-10 years,Associate's Degree or Technical Degree/Certification,Prefer not to answer,I rent my home.,Houston,77020
